 1.00000,     0.00000
 0.99630,     0.00109
 0.98577,     0.00473
 0.96962,     0.01087
 0.94887,     0.01876
 0.92400,     0.02731
 0.89493,     0.03567
 0.86133,     0.04381
 0.82357,     0.05202
 0.78220,     0.06024
 0.73782,     0.06839
 0.69103,     0.07634
 0.64249,     0.08391
 0.59283,     0.09093
 0.54271,     0.09720
 0.49275,     0.10250
 0.44357,     0.10661
 0.39574,     0.10929
 0.34982,     0.11028
 0.30610,     0.10904
 0.26383,     0.10538
 0.22327,     0.09982
 0.18488,     0.09274
 0.14908,     0.08437
 0.11625,     0.07491
 0.08677,     0.06454
 0.06099,     0.05346
 0.03924,     0.04187
 0.02184,     0.03000
 0.00910,     0.01810
 0.00157,     0.00653
 0.00123,     0.00567
 0.00037,     0.00286
-0.00000,     0.00014
 0.00040,    -0.00254
 0.00114,    -0.00441
 0.00153,    -0.00522
 0.00912,    -0.01519
 0.02186,    -0.02607
 0.03854,    -0.03700
 0.05862,    -0.04778
 0.08171,    -0.05828
 0.10720,    -0.06824
 0.13473,    -0.07752
 0.16370,    -0.08608
 0.19389,    -0.09345
 0.22531,    -0.09872
 0.25808,    -0.10046
 0.29423,    -0.09819
 0.33348,    -0.09207
 0.37647,    -0.08250
 0.42318,    -0.07035
 0.47329,    -0.05671
 0.52631,    -0.04256
 0.58152,    -0.02875
 0.63799,    -0.01605
 0.69460,    -0.00515
 0.75008,     0.00344
 0.80306,     0.00938
 0.85213,     0.01254
 0.89593,     0.01296
 0.93320,     0.01105
 0.96293,     0.00766
 0.98414,     0.00382
 0.99620,     0.00098
 1.00000,     0.00000
